id,sex,age,race,c_days_from_compas,c_charge_degree,is_recid,is_violent_recid,decile_score,v_decile_score,v_score_text,priors_count
2672,Male,30,African-American,1,F,1,1,9,6,Medium,5
2673,Male,23,African-American,1,F,1,1,2,4,Low,1
2676,Male,32,Caucasian,27,F,1,1,4,1,Low,2
2677,Male,22,Caucasian,1,F,0,0,5,5,Medium,2
2678,Male,21,African-American,1,M,0,0,3,5,Medium,0
2679,Female,43,Caucasian,2,M,0,0,2,1,Low,0
2680,Male,29,African-American,1,F,0,0,8,4,Low,0
2681,Male,43,African-American,1,F,0,0,3,3,Low,1
2682,Male,25,African-American,1,F,0,0,2,3,Low,1
2683,Male,47,Caucasian,1,M,0,0,1,1,Low,0
2685,Female,21,African-American,2,F,0,0,5,6,Medium,0
2686,Female,25,African-American,1554,M,0,0,6,3,Low,1
2687,Male,54,Caucasian,1,M,0,0,1,1,Low,0
2688,Male,34,African-American,1,F,1,1,1,1,Low,3
2689,Female,28,African-American,1,M,0,0,2,2,Low,2
2691,Male,54,African-American,1,M,0,0,1,1,Low,0
2696,Male,34,African-American,1,F,0,0,4,1,Low,2
2697,Male,50,Hispanic,210,M,0,0,9,3,Low,11
2700,Male,22,African-American,1,F,0,0,4,5,Medium,0
2703,Male,51,African-American,1,F,0,0,7,4,Low,3
2706,Female,28,African-American,43,F,0,0,5,5,Medium,1
2707,Male,36,Caucasian,131,F,0,0,7,3,Low,6
2708,Male,28,African-American,1,M,0,0,6,5,Medium,5
2713,Male,43,Caucasian,0,M,0,0,2,4,Low,4
2714,Male,45,Hispanic,1,M,0,0,6,3,Low,1
2720,Male,41,Hispanic,1,M,0,0,1,1,Low,1
2721,Male,25,Other,1,F,1,1,10,6,Medium,24
2722,Male,35,Hispanic,1,F,0,0,9,6,Medium,12
2728,Male,24,Asian,1,M,0,0,3,4,Low,0
2730,Male,21,African-American,38,F,1,1,6,6,Medium,3
2731,Male,28,Hispanic,1,F,0,0,4,4,Low,0
2733,Male,59,Other,9,F,0,0,1,1,Low,1
2735,Male,29,African-American,0,F,1,1,10,10,High,13
2737,Male,26,African-American,1,F,1,1,8,7,Medium,9
2738,Male,31,Other,1,M,0,0,1,1,Low,0
2745,Male,28,Caucasian,1,F,0,0,7,3,Low,0
2748,Male,44,Caucasian,1,M,0,0,1,1,Low,0
2749,Male,42,African-American,1,M,0,0,5,3,Low,7
2750,Male,39,African-American,1,F,0,0,7,4,Low,5
2751,Female,46,Hispanic,1,F,0,0,1,1,Low,2
2752,Male,55,Caucasian,1,M,0,0,5,3,Low,0
2754,Female,31,Caucasian,1,M,0,0,9,5,Medium,0
2758,Male,25,African-American,1,F,0,0,2,4,Low,0
2759,Male,32,Caucasian,0,M,0,0,7,4,Low,6
2760,Male,36,African-American,1,F,0,0,5,4,Low,2
2764,Male,39,Caucasian,1,M,0,0,4,2,Low,2
2765,Female,26,African-American,1,M,0,0,2,2,Low,0
2770,Female,22,Other,1,F,0,0,4,5,Medium,0
2771,Male,37,Caucasian,1,M,0,0,1,1,Low,3
2776,Male,41,Caucasian,1,M,0,0,6,2,Low,9
2777,Male,25,African-American,1,M,0,0,3,3,Low,1
2779,Female,57,Caucasian,475,F,0,0,1,1,Low,3
2780,Male,58,Caucasian,1,M,0,0,1,1,Low,0
2782,Male,44,African-American,17,M,1,1,9,6,Medium,19
2786,Male,28,African-American,1,F,1,0,4,5,Medium,1
2788,Male,54,Caucasian,1,F,0,0,1,1,Low,0
2789,Male,21,Hispanic,1,M,1,1,4,6,Medium,0
2790,Male,43,Caucasian,1,M,0,0,4,1,Low,0
2792,Male,31,African-American,0,M,0,0,10,10,High,5
2793,Male,30,African-American,0,F,0,0,10,9,High,11
2800,Male,24,African-American,1,M,0,0,7,4,Low,0
2802,Male,43,Caucasian,0,M,0,0,1,1,Low,0
2805,Male,51,African-American,45,F,0,0,7,6,Medium,4
2807,Male,24,Hispanic,15,F,1,1,10,8,High,11
2808,Male,31,African-American,40,F,1,0,3,2,Low,1
2809,Male,23,African-American,1,F,0,0,3,4,Low,0
2813,Male,26,African-American,85,M,1,1,10,7,Medium,8
2817,Male,27,Caucasian,1,F,0,0,9,7,Medium,1
2820,Male,66,Caucasian,1,M,0,0,1,1,Low,0
2821,Female,36,Caucasian,0,F,0,0,4,1,Low,3
2828,Female,22,African-American,1,M,1,1,7,5,Medium,0
2829,Male,25,Hispanic,1,F,0,0,3,3,Low,1
2830,Male,56,African-American,1,F,0,0,1,1,Low,4
2834,Male,29,Native American,187,F,0,0,2,2,Low,1
2837,Female,58,African-American,1,M,0,0,1,1,Low,3
2841,Male,24,Caucasian,0,M,0,0,5,6,Medium,3
2842,Male,22,African-American,1,F,1,1,3,6,Medium,0
2843,Male,39,Caucasian,1,M,0,0,1,1,Low,0
2848,Male,23,Caucasian,0,M,1,1,8,9,High,0
2851,Male,39,Other,1,F,0,0,5,1,Low,6
2852,Male,25,African-American,0,F,0,0,8,6,Medium,0
2856,Male,26,African-American,1,F,0,0,6,6,Medium,6
2857,Male,25,African-American,1,F,0,0,9,8,High,2
2860,Male,36,African-American,3,F,0,0,1,1,Low,0
2864,Male,35,African-American,24,F,1,1,4,2,Low,7
2865,Male,22,African-American,1,F,1,1,4,6,Medium,2
2867,Male,25,Caucasian,1,F,0,0,2,3,Low,0
2868,Male,24,Caucasian,1,M,0,0,7,4,Low,0
2869,Male,36,Hispanic,7,M,0,0,1,1,Low,0
2870,Male,24,African-American,1,M,1,1,7,7,Medium,2
2879,Male,29,Caucasian,3,M,0,0,3,1,Low,0
2880,Male,50,Caucasian,1,F,0,0,3,2,Low,8
2887,Male,27,African-American,1,M,0,0,1,2,Low,0
2891,Male,21,Hispanic,1,M,1,1,5,5,Medium,1
2892,Male,58,African-American,1,F,0,0,1,1,Low,1
2893,Male,27,African-American,1,F,0,0,8,5,Medium,4
2898,Female,31,Caucasian,5,M,0,0,3,2,Low,0
2900,Male,24,African-American,1,M,0,0,7,7,Medium,3
2902,Male,43,Caucasian,1,M,0,0,1,1,Low,0
2908,Male,23,African-American,1,F,0,0,5,6,Medium,0
2910,Male,42,Caucasian,1,M,0,0,4,1,Low,0
2911,Male,34,African-American,1774,M,1,1,2,2,Low,0
2913,Male,30,African-American,1,M,0,0,10,8,High,18
2914,Male,29,African-American,1,F,0,0,9,7,Medium,1
2917,Male,26,Caucasian,4,M,1,0,4,4,Low,3
2922,Male,51,African-American,523,M,0,0,7,5,Medium,5
2923,Male,36,Other,1,M,0,0,1,1,Low,0
2925,Male,62,Hispanic,3,M,0,0,1,1,Low,0
2928,Male,35,African-American,1320,M,0,0,2,1,Low,1
2929,Male,22,Caucasian,0,F,0,0,3,5,Medium,0
2931,Male,40,African-American,3,F,0,0,2,1,Low,0
2932,Male,36,African-American,0,F,0,0,2,1,Low,2
2935,Male,69,Caucasian,3,M,0,0,1,1,Low,0
2936,Male,27,African-American,1,F,0,0,4,3,Low,1
2938,Male,27,African-American,2,F,0,0,1,2,Low,1
2939,Female,24,African-American,1,M,0,0,6,7,Medium,6
2943,Male,42,Caucasian,7,F,0,0,1,1,Low,0
2946,Male,25,Caucasian,1,F,0,0,3,2,Low,1
2951,Male,25,African-American,1,F,0,0,4,4,Low,0
2952,Male,22,African-American,1,F,0,0,3,5,Medium,0
2954,Male,21,Caucasian,1,F,0,0,4,7,Medium,0
2955,Male,30,African-American,0,M,0,0,2,3,Low,1
2956,Male,46,Caucasian,1,M,0,0,5,2,Low,9
2959,Male,26,African-American,0,M,0,0,7,7,Medium,2
2962,Male,40,African-American,2,M,0,0,1,2,Low,1
2963,Male,34,Caucasian,1,F,0,0,4,3,Low,0
2965,Male,28,Hispanic,1,M,0,0,5,5,Medium,3
2969,Male,59,Caucasian,0,M,1,1,1,1,Low,3
2970,Male,37,Native American,1,F,0,0,2,1,Low,0
2972,Male,50,African-American,1,F,0,0,1,1,Low,0
2974,Male,57,African-American,1,F,1,1,5,2,Low,8
2976,Male,31,African-American,1,M,1,0,5,5,Medium,5
2977,Female,51,African-American,1259,M,0,0,7,2,Low,1
2979,Male,44,African-American,28,F,0,0,8,6,Medium,9
2983,Female,25,Caucasian,1,F,0,0,4,3,Low,0
2984,Male,51,African-American,4984,M,0,0,3,3,Low,5
2988,Male,57,Caucasian,11,F,0,0,1,1,Low,2
2990,Male,55,Caucasian,1,M,0,0,1,1,Low,0
2992,Female,42,African-American,0,F,0,0,1,1,Low,0
2995,Male,58,African-American,47,F,1,0,9,9,High,16
2996,Male,21,Other,1,F,0,0,4,5,Medium,0
2998,Female,24,Hispanic,0,M,0,0,4,4,Low,0
3003,Male,42,African-American,1,F,0,0,4,2,Low,1
3005,Male,21,African-American,1,F,0,0,6,6,Medium,1
3009,Male,56,Hispanic,330,M,0,0,4,3,Low,8
3010,Male,58,Caucasian,1,M,0,0,1,1,Low,0
3020,Male,46,African-American,1,F,0,0,9,4,Low,2
3022,Male,35,African-American,1,M,0,0,5,6,Medium,4
3025,Male,42,African-American,1,F,0,0,5,4,Low,2
3030,Male,37,African-American,74,F,0,0,3,2,Low,12
3032,Male,32,African-American,1,F,0,0,4,2,Low,8
3033,Male,31,Other,1,F,1,0,6,4,Low,5
3034,Female,33,African-American,1,M,0,0,1,2,Low,1
3035,Male,25,Caucasian,1,F,0,0,4,4,Low,4
3036,Female,33,African-American,1,M,0,0,1,1,Low,0
3037,Male,21,Hispanic,1,F,0,0,5,9,High,1
3038,Female,64,Caucasian,536,M,0,0,3,1,Low,7
3040,Male,56,African-American,22,F,0,0,1,1,Low,1
3041,Male,38,Caucasian,1,M,1,1,3,1,Low,0
3042,Female,40,African-American,1,M,0,0,1,1,Low,4
3043,Male,34,African-American,105,F,0,0,7,6,Medium,3
3046,Male,28,African-American,1,F,0,0,4,3,Low,4
3051,Male,51,African-American,1,M,0,0,1,1,Low,0
3053,Male,35,African-American,1,M,0,0,2,2,Low,2
3055,Male,61,African-American,13,F,0,0,2,1,Low,5
3056,Male,25,African-American,0,F,0,0,3,4,Low,0
3058,Male,26,African-American,1,M,1,0,5,4,Low,0
3064,Male,42,Caucasian,1,M,0,0,1,1,Low,1
3066,Female,25,African-American,10,F,0,0,4,4,Low,1
3068,Male,31,African-American,1,F,0,0,7,3,Low,9
3069,Male,35,Caucasian,1,F,0,0,2,1,Low,1
3074,Male,34,Caucasian,1,F,0,0,1,1,Low,0
3075,Male,46,Caucasian,93,M,0,0,1,1,Low,5
3078,Female,33,Caucasian,1,M,0,0,2,2,Low,1
3081,Male,30,African-American,1,F,1,0,2,2,Low,3
3084,Female,50,African-American,1,M,0,0,4,1,Low,7
3085,Male,21,African-American,1,F,0,0,5,7,Medium,0
3089,Female,23,African-American,1,M,0,0,4,4,Low,0
3090,Male,25,African-American,0,F,0,0,6,6,Medium,1
3093,Female,24,Caucasian,1,F,0,0,5,4,Low,1
3096,Male,60,African-American,1,F,1,0,1,1,Low,0
3101,Male,30,African-American,1,F,0,0,2,3,Low,2
3104,Female,32,Other,1,M,0,0,1,1,Low,0
3107,Male,46,Caucasian,1,M,0,0,1,1,Low,0
3110,Male,21,Caucasian,1,M,1,1,4,5,Medium,0
3111,Male,28,African-American,497,M,0,0,9,9,High,6
3112,Male,35,African-American,1,F,1,0,8,2,Low,0
3115,Female,40,African-American,33,M,0,0,4,1,Low,7
3118,Male,28,African-American,0,M,1,0,4,3,Low,2
3122,Male,46,Caucasian,1,M,1,0,4,1,Low,2
3129,Male,56,African-American,1,F,0,0,2,1,Low,1
3130,Male,41,African-American,71,F,1,0,6,3,Low,19
3134,Male,24,African-American,1,M,1,1,4,6,Medium,1
3135,Male,25,African-American,47,F,0,0,8,9,High,7
3136,Female,33,Caucasian,1,M,0,0,1,1,Low,0
3137,Male,48,Caucasian,1,M,1,1,8,5,Medium,2
3139,Male,25,Hispanic,1,F,0,0,7,5,Medium,0
3146,Male,37,Hispanic,1,F,1,1,3,2,Low,0
3152,Female,43,Caucasian,21,F,0,0,8,4,Low,7
3153,Male,32,Caucasian,1,F,0,0,3,2,Low,0
3154,Male,33,Other,1,F,0,0,7,2,Low,3
3156,Male,49,Caucasian,16,F,0,0,1,2,Low,4
3157,Male,24,Caucasian,1,F,0,0,4,5,Medium,0
3158,Male,26,African-American,1,F,0,0,9,8,High,1
3159,Male,42,Caucasian,1,F,0,0,2,1,Low,0
3161,Male,36,Hispanic,0,F,0,0,1,1,Low,0
3162,Male,29,Caucasian,1,M,1,1,7,6,Medium,7
3163,Male,39,Caucasian,0,M,0,0,3,3,Low,0
3169,Male,53,Caucasian,1,M,0,0,1,1,Low,0
3174,Male,21,Other,1,F,1,1,5,8,High,0
3176,Male,41,African-American,1,F,0,0,5,2,Low,4
3177,Male,34,African-American,219,F,1,1,2,1,Low,4
3178,Male,22,Caucasian,2,F,1,1,8,6,Medium,5
3181,Male,22,Caucasian,1,F,1,1,7,6,Medium,0
3182,Male,25,African-American,1,F,0,0,5,3,Low,2
3186,Female,27,Caucasian,34,F,0,0,3,3,Low,2
3188,Male,51,Other,1,F,0,0,1,1,Low,2
3190,Male,24,African-American,1,F,0,0,3,5,Medium,0
3191,Male,37,African-American,0,F,0,0,4,2,Low,4
3192,Male,37,Caucasian,3,M,0,0,1,1,Low,0
3197,Female,27,Other,1,M,0,0,2,2,Low,0
3198,Male,21,Other,1,F,0,0,6,6,Medium,0
3200,Male,35,African-American,0,F,1,1,1,1,Low,1
3203,Female,24,Caucasian,1,F,0,0,8,5,Medium,0
3204,Male,21,Other,113,F,0,0,7,8,High,1
3205,Male,49,Caucasian,1,M,0,0,1,1,Low,2
3206,Male,38,African-American,4,F,0,0,6,8,High,9
3207,Male,61,Other,1,M,0,0,1,1,Low,0
3208,Female,30,African-American,0,M,0,0,2,2,Low,0
3209,Male,22,African-American,1,F,1,1,6,5,Medium,3
3215,Male,52,Caucasian,1,M,0,0,1,1,Low,0
3217,Male,26,Caucasian,1,F,0,0,2,3,Low,0
3218,Male,26,Other,1,M,0,0,4,2,Low,0
3222,Male,29,African-American,55,F,0,0,7,5,Medium,6
3226,Male,29,African-American,2,F,1,1,8,9,High,4
3229,Male,26,Caucasian,1,F,0,0,5,6,Medium,2
3230,Female,46,African-American,0,F,0,0,4,3,Low,4
3232,Female,46,African-American,1,F,0,0,1,1,Low,0
3234,Male,39,Caucasian,56,F,0,0,1,3,Low,8
3236,Male,29,African-American,1,F,1,1,10,7,Medium,12
3237,Male,41,Caucasian,1,M,0,0,1,1,Low,0
3240,Female,25,African-American,1,F,0,0,7,3,Low,5
3242,Male,23,African-American,1,F,0,0,7,5,Medium,2
3246,Male,30,Caucasian,1,M,0,0,3,2,Low,0
3247,Male,34,Caucasian,1,F,0,0,6,4,Low,1
3250,Male,52,Caucasian,1,F,0,0,1,1,Low,2
3255,Male,51,African-American,26,M,1,0,2,2,Low,4
3261,Female,49,Caucasian,1,F,0,0,1,1,Low,1
3262,Female,26,African-American,13,M,1,1,6,4,Low,9
3265,Female,47,Caucasian,0,F,0,0,1,1,Low,0
3267,Male,27,African-American,0,M,0,0,2,3,Low,0
3274,Male,21,African-American,2,F,0,0,6,6,Medium,0
3281,Male,30,Caucasian,1,F,1,1,4,4,Low,3
3283,Male,70,Caucasian,1,M,0,0,1,1,Low,0
3289,Male,38,African-American,1,F,0,0,6,5,Medium,15
3290,Male,29,African-American,1,F,0,0,4,2,Low,0
3292,Male,38,Hispanic,21,F,0,0,4,1,Low,3
3293,Female,27,Caucasian,4,F,0,0,3,2,Low,0
3295,Male,44,Hispanic,0,M,0,0,1,1,Low,0
3298,Male,31,Caucasian,1,M,0,0,5,5,Medium,6
3301,Female,30,African-American,1,M,0,0,2,2,Low,0
3304,Male,40,African-American,1,F,0,0,2,1,Low,3
3305,Female,49,Caucasian,226,F,1,0,2,1,Low,3
3306,Male,33,Caucasian,1,M,0,0,3,2,Low,1
3310,Male,31,Hispanic,0,M,0,0,3,5,Medium,1
3312,Male,61,Caucasian,1,M,0,0,1,1,Low,1
3314,Male,30,Caucasian,1,F,0,0,4,3,Low,2
3315,Male,62,Caucasian,1,M,0,0,1,1,Low,0
3318,Male,48,Caucasian,1,F,0,0,6,1,Low,9
3319,Female,40,Caucasian,1,F,0,0,2,1,Low,0
3320,Male,24,Caucasian,1,F,0,0,4,5,Medium,0
3324,Male,63,Caucasian,1,M,0,0,1,1,Low,0
3325,Male,46,Hispanic,399,M,0,0,1,1,Low,0
3326,Male,33,African-American,1,F,0,0,10,9,High,4
3328,Female,21,African-American,79,F,1,1,6,6,Medium,1
3332,Male,51,African-American,17,F,0,0,1,1,Low,1
3333,Male,39,Caucasian,1,F,1,1,1,1,Low,3
3338,Male,22,African-American,2,M,0,0,6,5,Medium,0
3339,Male,59,Caucasian,1,F,0,0,1,1,Low,0
3340,Male,38,African-American,1,M,1,1,7,2,Low,37
3341,Male,23,African-American,1,F,0,0,6,5,Medium,2
3343,Male,20,African-American,37,F,1,1,3,7,Medium,1
3344,Male,38,African-American,0,F,1,1,7,3,Low,2
3345,Female,34,Caucasian,1,F,0,0,3,2,Low,2
3350,Male,31,African-American,15,F,0,0,1,2,Low,1
3356,Male,60,Caucasian,120,F,0,0,1,2,Low,3
3357,Male,43,African-American,1,F,0,0,4,1,Low,0
3358,Male,40,African-American,1,F,0,0,1,1,Low,1
3361,Male,26,African-American,624,F,0,0,6,7,Medium,1
3371,Male,22,African-American,1,F,0,0,3,5,Medium,0
3376,Female,40,Other,1,F,0,0,1,1,Low,0
3377,Female,37,Caucasian,0,F,0,0,1,1,Low,0
3379,Male,21,Other,1,F,0,0,4,6,Medium,1
3380,Female,45,African-American,1,F,0,0,4,2,Low,1
3384,Male,21,Caucasian,1,F,0,0,8,9,High,1
3385,Male,50,African-American,1154,M,0,0,9,4,Low,7
3386,Male,35,Caucasian,10,F,1,1,5,4,Low,6
3387,Male,52,African-American,2,M,1,1,1,1,Low,1
3390,Male,48,Caucasian,0,M,0,0,1,1,Low,0
3392,Male,48,Caucasian,1,M,0,0,1,1,Low,0
3396,Male,47,African-American,1,M,0,0,5,3,Low,0
3397,Male,62,African-American,613,M,0,0,7,6,Medium,1
3399,Male,35,African-American,1,F,0,0,10,5,Medium,13
3404,Male,52,African-American,5,F,0,0,1,1,Low,2
3405,Female,39,African-American,92,F,0,0,2,1,Low,7
3406,Male,21,Caucasian,1,M,1,1,8,9,High,0
3407,Male,53,Caucasian,3,M,0,0,1,1,Low,1
3409,Male,22,African-American,1,M,0,0,6,8,High,0
3410,Male,45,African-American,1,F,0,0,3,1,Low,1
3411,Female,27,Caucasian,1,F,0,0,2,2,Low,0
3412,Male,25,Caucasian,1,M,0,0,2,3,Low,0
3417,Male,28,Caucasian,1,F,0,0,3,2,Low,3
3418,Male,36,African-American,1,M,1,1,2,2,Low,3
3420,Male,42,African-American,0,F,0,0,2,1,Low,1
3423,Female,33,Caucasian,29,F,0,0,2,1,Low,2
3427,Female,42,Caucasian,1,M,0,0,1,1,Low,0
3431,Female,28,African-American,0,M,0,0,2,2,Low,0
3434,Male,27,African-American,50,F,1,1,10,9,High,25
3437,Female,21,Caucasian,1,F,0,0,6,7,Medium,0
3439,Male,36,Caucasian,1,F,0,0,1,1,Low,0
3445,Male,28,Caucasian,26,M,0,0,3,4,Low,1
3451,Male,46,Caucasian,1017,M,0,0,2,1,Low,2
3452,Male,34,African-American,1,F,0,0,1,2,Low,3
3455,Female,25,African-American,1,F,0,0,3,3,Low,1
3456,Male,21,African-American,0,M,1,1,8,8,High,1
3457,Male,48,African-American,1,F,0,0,1,1,Low,1
3458,Male,37,Caucasian,1,M,0,0,2,3,Low,1
3462,Male,37,Caucasian,1,M,1,1,1,1,Low,1
3463,Male,39,Caucasian,4,F,0,0,3,4,Low,1
3465,Male,49,Other,1,F,0,0,1,1,Low,2
3468,Male,35,African-American,1120,F,1,1,10,10,High,3
3475,Male,43,Caucasian,1,F,0,0,5,6,Medium,5
3480,Male,53,African-American,1,M,0,0,2,2,Low,1
3483,Male,39,Caucasian,1,M,0,0,1,1,Low,0
3487,Male,49,Caucasian,1,F,0,0,6,4,Low,7
3488,Male,36,Caucasian,4,F,0,0,1,1,Low,2
3489,Female,24,African-American,1,F,0,0,9,5,Medium,1
3491,Male,35,Hispanic,1,M,0,0,2,1,Low,0
3492,Male,23,African-American,1,F,0,0,7,5,Medium,3
3493,Male,26,African-American,1,F,0,0,2,3,Low,2
3499,Female,30,African-American,0,F,1,1,10,7,Medium,14
3500,Male,25,Caucasian,0,M,0,0,6,6,Medium,2
3504,Male,26,African-American,29,M,0,0,4,4,Low,2
3506,Male,26,African-American,49,M,0,0,8,6,Medium,7
3507,Male,60,Hispanic,1,F,0,0,1,1,Low,0
3508,Female,20,African-American,1,F,0,0,5,7,Medium,0
3511,Male,23,Caucasian,0,F,0,0,3,4,Low,0
3512,Male,26,African-American,1,F,1,1,7,6,Medium,5
3515,Male,40,Caucasian,1,M,0,0,1,1,Low,4
3516,Male,28,Other,1,F,1,1,3,3,Low,1
3523,Male,53,Caucasian,12,F,0,0,1,1,Low,1
3525,Male,56,Caucasian,45,F,0,0,2,1,Low,5
3528,Female,24,African-American,1,F,0,0,3,3,Low,0
3529,Male,31,Hispanic,5,F,0,0,1,1,Low,0
3531,Female,33,Caucasian,2,F,0,0,3,2,Low,2
3533,Male,26,Caucasian,1,F,1,1,10,7,Medium,8
3534,Male,56,Caucasian,65,M,0,0,1,1,Low,1
3535,Male,32,Caucasian,1,F,0,0,2,2,Low,2
3536,Male,25,Caucasian,0,F,1,1,2,3,Low,0
3538,Male,21,African-American,1,F,0,0,2,5,Medium,1
3539,Male,38,African-American,1,F,0,0,5,6,Medium,3
3540,Male,23,Caucasian,4,F,1,0,2,3,Low,0
3541,Male,67,African-American,173,M,0,0,1,1,Low,4
3542,Male,20,Caucasian,1,F,1,1,6,7,Medium,0
3544,Male,24,African-American,1,F,1,1,2,3,Low,1
3546,Male,23,Hispanic,1,F,0,0,2,3,Low,0
3547,Male,49,African-American,1,F,0,0,4,1,Low,3
3552,Male,28,Caucasian,0,M,0,0,3,2,Low,0
3554,Male,67,Caucasian,1,F,0,0,1,1,Low,3
3556,Male,33,Hispanic,0,F,0,0,1,1,Low,0
3560,Male,40,Caucasian,72,F,0,0,3,4,Low,4
3562,Male,52,African-American,1,F,0,0,1,1,Low,0
3566,Male,22,Caucasian,1,F,0,0,9,9,High,1
3568,Male,36,Caucasian,42,F,0,0,7,3,Low,9
3570,Male,40,Caucasian,1,M,1,1,1,1,Low,0
3571,Male,30,Caucasian,0,M,1,1,8,6,Medium,1
3573,Male,42,African-American,1,F,0,0,1,1,Low,1
3576,Male,46,Caucasian,5,F,0,0,2,1,Low,4
3577,Male,38,African-American,1,F,0,0,3,2,Low,4
3578,Male,39,Hispanic,114,F,1,1,1,2,Low,2
3584,Male,26,Caucasian,1,M,0,0,5,4,Low,0
3591,Male,27,Hispanic,10,F,0,0,3,2,Low,2
3593,Male,61,Caucasian,0,F,0,0,4,2,Low,1
3596,Male,57,Caucasian,1,F,0,0,1,1,Low,0
3597,Male,24,Caucasian,1,M,1,1,5,4,Low,3
3598,Male,34,African-American,1,F,0,0,1,2,Low,1
3600,Male,27,Hispanic,1,F,0,0,2,3,Low,1
3602,Male,35,African-American,1,M,1,1,8,3,Low,10
3604,Male,53,Other,92,F,0,0,5,2,Low,1
3605,Male,44,African-American,1,F,0,0,1,2,Low,0
3611,Male,61,Caucasian,1,F,0,0,6,5,Medium,10
3617,Male,42,African-American,2009,M,0,0,1,1,Low,4
3619,Male,39,African-American,0,F,0,0,2,2,Low,4
3620,Female,53,Caucasian,1,M,0,0,1,1,Low,0
3622,Male,26,African-American,1,M,1,0,10,9,High,3
3626,Male,50,Caucasian,1,F,0,0,7,2,Low,0
3627,Male,44,Caucasian,1,M,0,0,7,3,Low,16
3628,Male,24,African-American,1,F,1,1,6,6,Medium,4
3630,Male,50,Caucasian,1,F,0,0,1,1,Low,0
3631,Female,36,Caucasian,0,M,0,0,1,1,Low,0
3634,Male,39,Caucasian,1,F,0,0,3,2,Low,0
3635,Female,24,African-American,90,F,0,0,4,4,Low,2
3636,Female,54,African-American,1,F,0,0,6,1,Low,7
3639,Male,29,African-American,1,M,0,0,2,2,Low,0
3641,Male,26,Caucasian,1,M,0,0,6,2,Low,0
3645,Male,34,Caucasian,1,M,0,0,1,2,Low,0
3647,Male,20,African-American,1,F,0,0,3,6,Medium,0
3649,Male,26,African-American,0,F,1,1,8,6,Medium,4
3653,Male,26,African-American,1,F,0,0,2,3,Low,0
3655,Male,55,African-American,1,F,0,0,4,1,Low,1
3656,Male,22,African-American,1,M,0,0,9,7,Medium,0
3657,Female,26,African-American,1,M,0,0,4,3,Low,0
3658,Male,56,Other,0,M,0,0,1,1,Low,0
3659,Male,66,Caucasian,1,F,0,0,1,2,Low,1
3660,Male,46,Other,1,F,0,0,3,4,Low,2
3662,Male,28,African-American,1,F,0,0,7,9,High,4
3663,Male,33,African-American,1,F,1,0,6,5,Medium,8
3666,Female,31,African-American,1,M,0,0,2,2,Low,0
3667,Male,26,African-American,0,M,0,0,5,4,Low,1
3668,Male,35,African-American,722,M,0,0,5,2,Low,4
3669,Female,41,Caucasian,45,F,1,1,7,5,Medium,12
3671,Male,34,Caucasian,1,M,0,0,1,1,Low,0
3673,Male,33,Other,1,F,0,0,1,1,Low,0
3674,Female,32,African-American,1,F,0,0,2,1,Low,0
3675,Male,37,African-American,1,F,1,1,6,9,High,9
3676,Male,50,African-American,22,F,0,0,5,5,Medium,1
3678,Male,35,Caucasian,1,F,0,0,2,1,Low,1
3681,Female,52,African-American,1,F,0,0,9,7,Medium,8
3684,Male,26,African-American,1,F,1,1,7,7,Medium,5
3685,Male,36,African-American,3665,M,1,1,9,6,Medium,1
3691,Male,19,Other,1,M,1,1,9,9,High,0
3693,Male,24,African-American,1,M,0,0,2,3,Low,0
3696,Male,21,African-American,1,F,1,0,9,8,High,1
3697,Male,54,Caucasian,1,M,0,0,1,2,Low,0
3698,Male,49,Caucasian,1,F,0,0,1,1,Low,0
3699,Male,42,Caucasian,0,F,0,0,2,1,Low,1
3701,Male,61,African-American,56,F,0,0,4,2,Low,30
3703,Male,74,Caucasian,1,M,0,0,1,1,Low,0
3704,Female,38,Hispanic,0,F,0,0,1,1,Low,0
3705,Male,75,Caucasian,58,M,0,0,1,1,Low,2
3706,Female,39,African-American,0,F,0,0,1,1,Low,1
3708,Female,39,Caucasian,1,M,0,0,-1,1,Low,0
3709,Female,38,African-American,1,F,0,0,1,1,Low,0
3712,Male,53,African-American,1596,F,0,0,1,1,Low,2
3714,Male,53,Caucasian,1,M,0,0,1,1,Low,1
3716,Male,53,African-American,381,F,0,0,7,1,Low,4
3719,Male,23,African-American,1,F,0,0,9,9,High,2
3721,Female,64,Caucasian,1,F,0,0,1,1,Low,1
3724,Male,38,Hispanic,94,M,0,0,1,1,Low,1
3726,Female,41,Hispanic,1,F,0,0,1,1,Low,0
3728,Male,53,Other,0,M,0,0,1,1,Low,0
3729,Male,34,African-American,1,F,0,0,1,1,Low,0
3732,Male,26,African-American,1,M,0,0,1,2,Low,1
3736,Male,44,Caucasian,1,F,0,0,2,3,Low,4
3737,Female,27,Caucasian,1,F,0,0,2,2,Low,0
3738,Male,28,Caucasian,1,F,0,0,9,3,Low,14
3739,Male,55,Caucasian,1,M,0,0,1,1,Low,1
3740,Female,22,African-American,60,F,0,0,4,5,Medium,2
3741,Male,36,African-American,0,F,0,0,5,1,Low,15
3743,Male,23,African-American,1,F,0,0,4,6,Medium,1
3744,Male,56,African-American,1,M,0,0,1,2,Low,1
3747,Male,37,Caucasian,1,M,0,0,6,4,Low,1
3758,Male,45,African-American,0,M,0,0,2,2,Low,3
3759,Female,31,African-American,1,F,0,0,8,8,High,14
